Camp ID,Client Name,Client Contact Number,Client Country,Client Email,Lead Landing Date,Client Info,Lead Source,Brand Name,Whatsapp Name,Refer Client Name,Platform,Lead Type,User Name
dsa,Maaz,4350450432,Pakistan,hassankhann220@gmail.com,2024-09-21,Recurring,dd dd dd ddd dd dd ,0,dd 324342342,abcc,,Live,admin
ddma,ahmed,32423323223,Pak,dmda@gmail.com,2024-09-22,,,0,dd 324342342,abcc,,Live,admin
FS1212,John William,12343455341,Afghanistan,bc230420944mma@vu.edu.pk,2024-09-23,New,    dsd,0,dd 324342342,abcc,,Live,admin
dsa,sda,4350450432,Azerbaijan,mf@gmai.com,2024-09-24,New,,0,dd 324342342,abcc,,Live,admin
dmdd42192,dawood,44324323243,Pakistan,dawood@gmail.com,2024-09-25,New,Google,GoGrades,dd 324342342,abcc,,Live,admin
6153,maaz,324332432,Pakistan,maaza42101@gmail.com,2024-09-26,Recurring,Bing,0,Uk,abcc,,Live,Maaz
6153,maaz,4.38E+11,Pakistan,maaza42101@gmail.com,2024-09-27,Recurring,Refer,Gradesup,dd,abcc,,Live,Maaz
6153,maaz,43554343245,Pakistan,maaza42101@gmail.com,2024-09-28,Recurring,Social Media Marketing,Graderz,Uk 12345453453,dd,,Live,Maaz
3242,abcc,324334,Netherlands,maaza42101@gmail.com,2024-09-29,New,Social Media Marketing,GoGrades,Uk 12345453453,,,Live,Maaz
6153,maaz,4.38E+11,Pakistan,maaza42101@gmail.com,2024-09-30,New,Refer,Graderz,dd 324342342,ddd,,Live,Maaz
6153,maaz,4.38E+11,Pakistan,maaza42101@gmail.com,2024-10-01,New,Refer,Graderz,dd 324342342,ddd,,Live,Maaz
323213,dd,4.38E+11,Pakistan,dd@gmail.com,2024-10-02,Recurring,Through Email,Gradesup,dd 324342342,dd,,Live,Maaz
1323333333,Core,123,Pakistan,core@gmail.com,2024-10-03,Recurring,Refer,Gradesup,dd 324342342,ddd,,Live,Maaz
454454345,xyz,123456789,Nigeria,xyz@gmail.com,2024-10-04,New,PPC,GoGrades,dd 324342342,xyz,,Live,Maaz
323232,AAA,3232323,Pakistan,aa@gmail.com,2024-10-05,Recurring,Social Media Marketing,Graderz,dd 324342342,AAA,,Live,Maaz
123123123,Qa,234,India,Qa@gmail.com,2024-10-06,New,PPC,Graderz,Uk 12345453453,Qa,,Live,Maaz
32641,maaz,4.38E+11,Pakistan,maaza4210111@gmail.com,2024-10-07,New,Through Email,GoGrades,dd 324342342,,,Live,Maaz
34224,ddd,4324234,Pakistan,dddddd@gmail.com,2024-10-08,Recurring,Refer,GoGrades,dd 324342342,abcc,,Live,Maaz
23,maaz,32,Pakistan,maaza42101@gmail.com,2024-10-09,Recurring,Social Media Marketing,Gradesup,dd 324342342,,,Live,Maaz
432,DM,342342,Pakistan,dm@gmail.com,2024-10-10,New,Organic,GoGrades,dd 324342342,,,Live,Maaz
dsa,Maaz,4350450432,Pakistan,hassankhann220@gmail.com,2024-10-11,Recurring,dd dd dd ddd dd dd ,0,dd 324342342,,,Live,admin
ddma,ahmed,32423323223,Pak,dmda@gmail.com,2024-10-12,,,0,dd 324342342,,,Live,admin
FS1212,John William,12343455341,Afghanistan,bc230420944mma@vu.edu.pk,2024-10-13,New,    dsd,0,dd 324342342,,,Live,admin
dsa,sda,4350450432,Azerbaijan,mf@gmai.com,2024-10-14,New,,0,dd 324342342,,,Live,admin
dmdd42192,dawood,44324323243,Pakistan,dawood@gmail.com,2024-10-15,New,Google,GoGrades,dd 324342342,,,Live,admin
6153,maaz,324332432,Pakistan,maaza42101@gmail.com,2024-10-16,Recurring,Bing,0,Uk,,,Live,Maaz
6153,maaz,4.38E+11,Pakistan,maaza42101@gmail.com,2024-10-17,Recurring,Refer,Gradesup,dd,,,Live,Maaz
6153,maaz,43554343245,Pakistan,maaza42101@gmail.com,2024-10-18,Recurring,Social Media Marketing,Graderz,Uk 12345453453,dd,,Live,Maaz
3242,abcc,324334,Netherlands,maaza42101@gmail.com,2024-10-19,New,Social Media Marketing,GoGrades,Uk 12345453453,,,Live,Maaz
6153,maaz,4.38E+11,Pakistan,maaza42101@gmail.com,2024-10-20,New,Refer,Graderz,dd 324342342,ddd,,Live,Maaz
6153,maaz,4.38E+11,Pakistan,maaza42101@gmail.com,2024-10-21,New,Refer,Graderz,dd 324342342,ddd,,Live,Maaz
323213,dd,4.38E+11,Pakistan,dd@gmail.com,2024-10-22,Recurring,Through Email,Gradesup,dd 324342342,dd,,Live,Maaz
1323333333,Core,123,Pakistan,core@gmail.com,2024-10-23,Recurring,Refer,Gradesup,dd 324342342,ddd,,Live,Maaz
454454345,xyz,123456789,Nigeria,xyz@gmail.com,2024-10-24,New,PPC,GoGrades,dd 324342342,xyz,,Live,Maaz
323232,AAA,3232323,Pakistan,aa@gmail.com,2024-10-25,Recurring,Social Media Marketing,Graderz,dd 324342342,AAA,,Live,Maaz
123123123,Qa,234,India,Qa@gmail.com,2024-10-26,New,PPC,Graderz,Uk 12345453453,Qa,,Live,Maaz
32641,maaz,4.38E+11,Pakistan,maaza4210111@gmail.com,2024-10-27,New,Through Email,GoGrades,dd 324342342,,,Live,Maaz
34224,ddd,4324234,Pakistan,dddddd@gmail.com,2024-10-28,Recurring,Refer,GoGrades,dd 324342342,abcc,,Live,Maaz
23,maaz,32,Pakistan,maaza42101@gmail.com,2024-10-29,Recurring,Social Media Marketing,Gradesup,dd 324342342,,,Live,Maaz
432,DM,342342,Pakistan,dm@gmail.com,2024-10-30,New,Organic,GoGrades,dd 324342342,,,Live,Maaz
