2024-09-09 12:58:26 - Maaz Created The Lead - Client Name: maaz, Client Contact Number: 438342849849, Lead Landing Date: 2024-09-09
2024-09-09 16:14:59 - Maaz Created The Lead - Client Name: dd, Client Contact Number: 324, Lead Landing Date: 2024-09-09
2024-09-09 16:17:01 - Maaz Created The Lead - Client Name: dd, Client Contact Number: 324, Lead Landing Date: 2024-09-09
2024-09-09 17:54:34 - Maaz Created The Lead - Client Name: dd, Client Contact Number: 438342849849, Lead Landing Date: 2024-09-09
2024-09-10 11:17:06 - Maaz Created The Lead - Client Name: Core, Client Contact Number: 123, Lead Landing Date: 2024-09-10
2024-09-10 11:34:52 - Maaz Created The Lead - Client Name: abc, Client Contact Number: 1234, Lead Landing Date: 2024-09-10
2024-09-10 14:55:29 - Maaz Created The Lead - Client Name: Qa, Client Contact Number: 234, Lead Landing Date: 2024-09-10
2024-09-10 17:15:10 - Maaz Created The Lead - Client Name: xyz, Client Contact Number: 123456789, Lead Landing Date: 2024-09-10
2024-09-10 17:42:25 - Maaz Created The Lead - Client Name: AAA, Client Contact Number: 3232323, Lead Landing Date: 2024-09-10
2024-09-11 11:00:52 - Maaz Created The Lead - Client Name: dd, Client Contact Number: 32442, Lead Landing Date: 2024-09-11
2024-09-11 11:13:57 - Maaz Created The Lead - Client Name: maaz, Client Contact Number: 432, Lead Landing Date: 2024-09-11
2024-09-11 11:17:51 - Maaz Created The Lead - Client Name: maaz, Client Contact Number: 438342849849, Lead Landing Date: 2024-09-11
2024-09-11 11:32:21 - Maaz Created The Lead - Client Name: dd, Client Contact Number: 43554343245, Lead Landing Date: 2024-09-11
2024-09-11 11:57:28 - Maaz Created The Lead - Client Name: Social Media Marketing, Client Contact Number: 2321432, Lead Landing Date: 2024-09-11
2024-09-20 11:02:03 - Maaz Created The Lead - Client Name: aaa, Client Contact Number: 21343, Lead Landing Date: 2024-09-20
2024-09-21 15:47:53 - dani Created The Lead - Client Name: mdmdmdmd, Client Contact Number: 123223, Lead Landing Date: 2024-09-21
2024-09-21 16:53:11 - dani Created The Lead - Client Name: dffdfg, Client Contact Number: 3243243, Lead Landing Date: 2024-09-21
2024-10-15 16:57:37 - Qadama Created The Lead - Client Name: sad, Client Contact Number: 438342849849, Lead Landing Date: 2024-10-15
2024-10-19 11:18:26 - Maaz Created The Lead - Client Name: Ik, Client Contact Number: 343243, Lead Landing Date: 2024-10-19
2024-10-23 16:06:10 - dani Created The Lead - Client Name: alex, Client Contact Number: 124521, Lead Landing Date: 2024-10-23
2024-10-23 16:09:45 - dani Created The Lead - Client Name: md, Client Contact Number: 45343, Lead Landing Date: 2024-10-23
